date,adjclose
2017-12-20,234.4267
2017-12-21,234.9096
2017-12-22,234.8482
2017-12-26,234.5672
2017-12-27,234.6814
2017-12-28,235.1642
2017-12-29,234.2775
2018-01-02,235.9543
2018-01-03,237.4468
2018-01-04,238.4475
2018-01-05,240.0366
2018-01-08,240.4756
2018-01-09,241.0198
2018-01-10,240.6511
2018-01-11,242.4069
2018-01-12,243.9871
2018-01-16,243.1532
2018-01-17,245.4708
2018-01-18,245.0582
2018-01-19,246.173
2018-01-22,248.1747
2018-01-23,248.7014
2018-01-24,248.6049
2018-01-25,248.7102
2018-01-26,251.5897
2018-01-29,249.9218
2018-01-30,247.3583
2018-01-31,247.4811
2018-02-01,247.2003
2018-02-02,241.8187
2018-02-05,231.7053
2018-02-06,236.2703
2018-02-07,234.9887
2018-02-08,226.1745
2018-02-09,229.5719
2018-02-12,232.9431
2018-02-13,233.5225
2018-02-14,236.6741
2018-02-15,239.6942
2018-02-16,239.7644
2018-02-20,238.2631
2018-02-21,237.078
2018-02-22,237.3853
2018-02-23,241.169
2018-02-26,243.9696
2018-02-27,240.9232
2018-02-28,238.4827
2018-03-01,235.0149
2018-03-02,236.2265
2018-03-05,238.9567
2018-03-06,239.5625
2018-03-07,239.4747
2018-03-08,240.6335
2018-03-09,244.8211
2018-03-12,244.5138
2018-03-13,242.9336
2018-03-14,241.6871
2018-03-15,241.4236
2018-03-16,241.6855
2018-03-19,238.4154
2018-03-20,238.8208
2018-03-21,238.3624
2018-03-22,232.4041
2018-03-23,227.4505
2018-03-26,233.6733
2018-03-27,229.6981
2018-03-28,229.0194
2018-03-29,231.9457
2018-04-02,226.9393
2018-04-03,229.8479
2018-04-04,232.3071
2018-04-05,234.1405
2018-04-06,228.9224
2018-04-09,230.0506
2018-04-10,233.7086
2018-04-11,232.4834
2018-04-12,234.3961
2018-04-13,233.7086
2018-04-16,235.6301
2018-04-17,238.1509
2018-04-18,238.3273
2018-04-19,237.0051
2018-04-20,234.9955
2018-04-23,234.9602
2018-04-24,231.7959
2018-04-25,232.3688
2018-04-26,234.731
2018-04-27,234.9514
2018-04-30,233.1445
2018-05-01,233.5587
2018-05-02,231.9898
2018-05-03,231.4786
2018-05-04,234.4754
2018-05-07,235.2687
2018-05-08,235.2687
2018-05-09,237.5427
2018-05-10,239.764
2018-05-11,240.4955
2018-05-14,240.6101
2018-05-15,238.953
2018-05-16,239.9579
2018-05-17,239.7551
2018-05-18,239.1557
2018-05-21,240.9539
2018-05-22,240.2839
2018-05-23,240.9451
2018-05-24,240.4514
2018-05-25,239.8786
2018-05-29,237.1197
2018-05-30,240.2839
2018-05-31,238.812
2018-06-01,241.1566
2018-06-04,242.3024
2018-06-05,242.4787
2018-06-06,244.506
2018-06-07,244.4796
2018-06-08,245.2023
2018-06-11,245.5284
2018-06-12,245.8457
2018-06-13,245.0613
2018-06-14,245.6783
2018-06-15,245.3648
2018-06-18,244.8602
2018-06-19,243.9217
2018-06-20,244.3378
2018-06-21,242.8061
2018-06-22,243.2489
2018-06-25,239.9375
2018-06-26,240.4687
2018-06-27,238.4766
2018-06-28,239.8401
2018-06-29,240.1854
2018-07-02,240.6989
2018-07-03,239.8489
2018-07-05,241.8056
2018-07-06,243.8509
2018-07-09,246.0466
2018-07-10,246.9319
2018-07-11,245.1258
2018-07-12,247.3481
2018-07-13,247.5429
2018-07-16,247.3215
2018-07-17,248.322
2018-07-18,248.8443
2018-07-19,247.9059
2018-07-20,247.6225
2018-07-23,248.083
2018-07-24,249.3313
2018-07-25,251.4563
2018-07-26,250.863
2018-07-27,249.1631
2018-07-30,247.8616
2018-07-31,249.0834
2018-08-01,248.6673
2018-08-02,250.0219
2018-08-03,251.0933
2018-08-06,252.014
2018-08-07,252.8463
2018-08-08,252.7401
2018-08-09,252.3947
2018-08-10,250.7037
2018-08-13,249.7652
2018-08-14,251.3588
2018-08-15,249.4818
2018-08-16,251.5005
2018-08-17,252.3859
2018-08-20,252.926
2018-08-21,253.5192
2018-08-22,253.3687
2018-08-23,253.0323
2018-08-24,254.5551
2018-08-27,256.5648
2018-08-28,256.6888
2018-08-29,258.0701
2018-08-30,257.0253
2018-08-31,257.0341
2018-09-04,256.5914
2018-09-05,255.9009
2018-09-06,255.1306
2018-09-07,254.6348
2018-09-10,255.0774
2018-09-11,255.9185
2018-09-12,255.9805
2018-09-13,257.4945
2018-09-14,257.5388
2018-09-17,256.1753
2018-09-18,257.5654
2018-09-19,257.8399
2018-09-20,259.9294
2018-09-21,259.6917
2018-09-24,258.8292
2018-09-25,258.589
2018-09-26,257.8152
2018-09-27,258.5356
2018-09-28,258.5623
2018-10-01,259.4605
2018-10-02,259.3094
2018-10-03,259.4517
2018-10-04,257.4239
2018-10-05,255.9831
2018-10-08,255.9831
2018-10-09,255.6095
2018-10-10,247.5162
2018-10-11,242.0642
2018-10-12,245.4261
2018-10-15,244.0475
2018-10-16,249.3838
2018-10-17,249.4283
2018-10-18,245.8263
2018-10-19,245.6928
2018-10-22,244.5901
2018-10-23,243.3448
2018-10-24,235.972
2018-10-25,240.2054
2018-10-26,235.9809
2018-10-29,234.6734
2018-10-30,238.1509
2018-10-31,240.6945
2018-11-01,243.2559
2018-11-02,241.8152
2018-11-05,243.1493
2018-11-06,244.6879
2018-11-07,249.9264
2018-11-08,249.4728
2018-11-09,247.0359
2018-11-12,242.4199
2018-11-13,241.9664
2018-11-14,240.3121
2018-11-15,242.8201
2018-11-16,243.4516
2018-11-19,239.3338
2018-11-20,234.9046
2018-11-21,235.7051
2018-11-23,234.1309
2018-11-26,237.9108
2018-11-27,238.7113
2018-11-28,244.2076
2018-11-29,243.674
2018-11-30,245.1593
2018-12-03,248.4055
2018-12-04,240.3565
2018-12-06,239.9919
2018-12-07,234.4155
2018-12-10,234.8602
2018-12-11,234.9135
2018-12-12,236.0963
2018-12-13,236.0164
2018-12-14,231.6584
2018-12-17,227.1136
2018-12-18,226.8646
2018-12-19,223.4672
2018-12-20,219.8296
2018-12-21,215.3253
2018-12-24,209.6358
2018-12-26,220.2276
2018-12-27,221.9184
2018-12-28,221.6321
2018-12-31,223.5734
2019-01-02,223.8059
2019-01-03,218.4654
2019-01-04,225.783
2019-01-07,227.5632
2019-01-08,229.7012
2019-01-09,230.7747
2019-01-10,231.5888
2019-01-11,231.6783
2019-01-14,230.2648
2019-01-15,232.9038
2019-01-16,233.4674
2019-01-17,235.2386
2019-01-18,238.3697
2019-01-22,235.1492
2019-01-23,235.6413
2019-01-24,235.7664
2019-01-25,237.7614
2019-01-28,235.9543
2019-01-29,235.6413
2019-01-30,239.3716
2019-01-31,241.4739
2019-02-01,241.5902
2019-02-04,243.2899
2019-02-05,244.3097
2019-02-06,243.9877
2019-02-07,241.6618
2019-02-08,241.957
2019-02-11,242.0911
2019-02-12,245.2044
2019-02-13,246.0004
2019-02-14,245.4548
2019-02-15,248.1296
2019-02-19,248.559
2019-02-20,249.06
2019-02-21,248.1743
2019-02-22,249.713
2019-02-25,250.053
